,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
1,"5,083,340","59,640","58,318","59,673","61,834","63,240","65,638","65,395","63,407","63,538","65,797","65,101","65,583","65,017","62,127","62,341","63,366","65,825","64,507","61,746","59,790","59,910","64,442","64,873","64,664","68,163","71,907","75,326","74,815","77,529","79,413","80,829","79,300","82,356","81,995","81,300","80,189","79,534","77,667","76,494","74,678","72,763","71,215","68,443","68,191","66,800","64,643","66,456","67,202","69,553","72,293","78,667","60,945","58,570","60,583","59,447","55,793","52,968","54,949","54,872","54,630","53,424","52,911","51,931","50,430","49,368","50,442","49,548","48,305","47,045","44,569","43,800","43,796","41,067","39,886","37,497","38,022","37,013","36,935","24,506","21,930","21,849","21,868","21,429","19,542","17,305","14,984","13,091","11,615","9,908","8,067","25,007"
1,"5,077,070","57,565","59,389","58,315","59,510","61,612","63,015","65,500","65,311","63,441","63,435","65,709","65,038","65,467","65,092","62,078","62,112","62,857","65,352","63,923","64,072","60,520","59,588","63,332","63,017","62,986","66,888","70,778","74,525","74,213","76,927","78,909","80,493","79,089","82,097","81,693","81,180","80,147","79,241","77,412","76,337","74,700","72,751","71,165","68,355","68,128","66,702","64,578","66,340","67,171","69,407","72,080","78,422","60,766","58,430","60,390","59,219","55,421","52,666","54,650","54,484","54,205","52,856","52,401","51,266","49,773","48,599","49,531","48,546","47,264","45,825","43,225","42,362","42,286","39,582","38,264","35,717","36,068","35,012","34,746","22,960","20,436","20,136","20,037","19,526","17,679","15,473","13,259","11,432","10,028","8,499","26,087"
1,"5,071,950","56,213","57,283","59,143","58,286","59,386","61,399","62,912","65,368","65,259","63,512","63,395","65,647","64,952","65,409","65,216","62,016","61,670","62,316","65,073","66,600","64,927","60,492","58,852","61,678","61,433","61,905","66,049","70,232","74,070","73,772","76,683","78,687","80,261","78,958","81,920","81,590","81,186","80,113","79,041","77,156","76,259","74,683","72,698","71,093","68,381","68,012","66,615","64,553","66,266","67,120","69,278","71,793","78,139","60,559","58,228","60,176","58,857","55,087","52,364","54,287","54,058","53,681","52,264","51,745","50,622","48,987","47,689","48,532","47,381","46,120","44,532","41,807","40,798","40,642","37,932","36,565","33,877","34,180","32,975","32,567","21,384","18,807","18,466","18,169","17,526","15,745","13,552","11,472","9,735","8,537","27,095"
1,"5,062,940","53,411","55,832","57,006","58,857","58,107","59,175","61,130","62,657","65,149","65,231","63,532","63,424","65,617","64,971","65,340","65,324","61,839","61,398","62,128","67,207","67,675","64,906","59,752","57,216","60,056","60,310","60,998","65,453","69,568","73,643","73,362","76,396","78,278","79,878","78,819","81,691","81,413","81,116","80,009","78,829","76,948","76,061","74,578","72,653","71,064","68,316","67,913","66,560","64,443","66,124","66,981","69,101","71,611","77,828","60,342","58,028","59,782","58,523","54,680","51,980","53,885","53,530","53,105","51,593","51,123","49,936","48,184","46,829","47,456","46,233","44,859","43,208","40,360","39,224","38,923","36,271","34,850","32,028","32,121","30,907","30,343","19,755","17,184","16,777","16,376","15,652","13,976","11,761","9,758","8,218","28,296"
1,"5,064,200","52,027","53,060","55,668","56,812","58,694","58,088","59,103","61,005","62,593","65,024","65,249","63,693","63,393","65,581","65,007","65,377","65,393","61,838","61,130","63,867","68,326","68,041","64,539","58,527","55,962","59,440","59,787","60,929","65,267","69,462","73,489","73,267","76,391","78,126","79,964","78,823","81,648","81,478","81,265","80,018","78,712","76,729","76,084","74,604","72,759","70,936","68,313","67,903","66,569","64,487","65,995","66,838","68,922","71,437","77,691","60,177","57,831","59,574","58,163","54,393","51,576","53,469","53,039","52,488","50,979","50,436","49,238","47,416","45,962","46,412","45,084","43,650","41,872","38,904","37,668","37,362","34,663","33,201","30,258","30,132","28,915","28,189","18,306","15,594","15,125","14,596","13,920","12,341","10,189","8,363","29,385"
1,"5,066,000","51,198","52,277","53,357","55,907","57,045","58,892","58,286","59,287","61,183","62,693","65,247","65,498","63,581","63,263","65,405","64,666","65,071","64,740","61,286","62,831","65,212","68,791","67,952","63,472","57,749","55,837","59,376","59,910","61,022","65,243","69,548","73,481","73,315","76,383","77,908","79,747","78,809","81,599","81,387","81,160","80,118","78,792","76,673","76,092","74,511","72,737","70,886","68,270","67,799","66,504","64,413","65,950","66,673","68,765","71,213","77,467","59,888","57,538","59,280","57,775","53,965","51,087","52,894","52,409","51,823","50,302","49,598","48,288","46,508","44,905","45,276","43,878","42,319","40,404","37,334","36,074","35,667","32,858","31,354","28,433","28,097","26,915","26,037","16,739","14,158","13,539","12,960","12,196","10,690","8,665","29,670"
1,"5,068,500","51,783","51,241","52,437","53,601","56,062","57,176","59,081","58,582","59,513","61,400","62,774","65,351","65,312","63,497","63,099","65,196","64,255","64,537","64,080","62,854","64,074","66,238","68,847","66,724","62,607","57,291","55,531","59,388","59,848","61,120","65,423","69,707","73,530","73,436","76,487","78,037","79,887","78,997","81,858","81,563","81,345","80,169","78,682","76,618","76,057","74,430","72,623","70,851","68,121","67,607","66,391","64,289","65,764","66,472","68,630","71,005","77,199","59,650","57,163","58,973","57,375","53,507","50,578","52,252","51,794","51,112","49,524","48,738","47,403","45,442","43,875","44,123","42,542","40,857","38,818","35,753","34,426","33,860","31,103","29,437","26,495","26,005","24,817","23,765","15,129","12,629","11,949","11,307","10,509","9,056","29,857"
1,"5,084,300","53,628","51,954","51,422","52,768","53,953","56,304","57,571","59,412","58,953","59,772","61,654","62,943","65,486","65,416","63,396","63,113","65,049","63,845","64,223","66,320","64,269","65,232","66,458","68,040","66,117","62,311","57,248","55,780","59,475","60,232","61,426","65,673","70,214","73,912","73,671","76,790","78,394","80,140","79,338","82,156","81,820","81,579","80,313","78,788","76,612","76,082","74,331","72,683","70,875","68,111","67,612","66,441","64,226","65,699","66,406","68,521","70,916","77,064","59,382","56,917","58,609","57,080","53,131","50,083","51,701","51,195","50,384","48,796","47,824","46,469","44,402","42,699","42,828","41,198","39,365","37,316","34,154","32,807","31,982","29,236","27,590","24,566","23,957","22,751","21,552","13,619","11,205","10,422","9,763","9,015","30,165"
1,"5,110,200","54,502","53,950","52,171","51,685","53,186","54,316","56,657","57,974","59,774","59,355","60,151","62,037","63,046","65,211","65,011","63,015","63,127","65,061","64,151","67,434","68,416","66,144","66,358","66,744","68,005","66,310","62,499","57,851","56,195","59,943","60,787","61,895","66,221","70,715","74,446","73,936","77,110","78,839","80,363","79,787","82,514","82,161","81,863","80,466","79,042","76,669","76,139","74,383","72,718","70,955","68,076","67,593","66,389","64,201","65,600","66,259","68,393","70,761","76,755","59,114","56,596","58,165","56,563","52,614","49,515","51,053","50,452","49,561","47,899","46,875","45,503","43,260","41,526","41,562","39,712","37,821","35,731","32,487","31,106","30,153","27,352","25,675","22,657","21,908","20,664","19,477","12,172","9,850","8,956","8,296","30,610"
1,"5,133,000","55,117","54,639","53,923","52,318","51,890","53,384","54,645","56,935","58,184","60,028","59,642","60,313","62,281","62,989","65,171","64,773","63,142","63,490","65,860","67,781","69,375","69,690","65,954","66,347","67,061","68,088","66,241","62,901","58,225","56,698","60,374","61,234","62,388","66,575","71,182","74,809","74,350","77,464","79,209","80,658","79,983","82,775","82,269","82,104","80,544","78,990","76,580","76,141","74,319","72,683","70,796","67,999","67,418","66,287","64,083","65,425","65,980","68,121","70,424","76,428","58,782","56,183","57,647","55,975","51,961","48,844","50,246","49,626","48,662","46,951","45,833","44,399","42,032","40,315","40,195","38,209","36,231","34,008","30,778","29,391","28,315","25,442","23,748","20,769","19,906","18,727","17,539","10,735","8,523","7,703","30,648"
